service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2012DE-1BUSWK-Weekday-03,1,1,1,1,1,0,0,20121210,20121214
2012DE-1BUSWK-Weekday-03-1111000,1,1,1,1,0,0,0,20121210,20121214
2012DE-1BUSWK-Weekday-03-0000100,0,0,0,0,1,0,0,20121210,20121214
2012DE-1BUSSA-Saturday-01,0,0,0,0,0,1,0,20121215,20121215
2012DE-1BUSSU-Sunday-01,0,0,0,0,0,0,1,20121216,20130218
2012DE-1BUSWK-Weekday-05,1,1,1,1,1,0,0,20121217,20130308
2012DE-1BUSWK-Weekday-05-0000100,0,0,0,0,1,0,0,20121217,20130308
2012DE-1BUSWK-Weekday-05-1111000,1,1,1,1,0,0,0,20121217,20130308
2012DE-1BUSSA-Saturday-02,0,0,0,0,0,1,0,20121222,20130309
2012DE-1BUSSU-Sunday-02,0,0,0,0,0,0,1,20121223,20130310
2012DE-pBxDec25-Sunday-25,0,0,0,0,0,0,1,20121225,20121225
2012DE-1LRTWK-Weekday-03,1,1,1,1,1,0,0,20121210,20130308
2012DE-1LRTSA-Saturday-02,0,0,0,0,0,1,0,20121215,20130309
2012DE-1LRTSU-Sunday-02,0,0,0,0,0,0,1,20121216,20130310
2012DE-pTxDec25-Sunday-25,0,0,0,0,0,0,1,20121225,20121225
