route_id,route_short_name,route_long_name,route_desc,route_type,route_url
1-20220,1,"Bowness - Forest Lawn",,3,
1-20226,1,"Bowness - Forest Lawn",,3,
2-20220,2,"Mt. Pleasant / Killarney 17 Ave.",,3,
2-20226,2,"Mt. Pleasant / Killarney 17 Ave.",,3,
3-20220,3,"Sandstone/Elbow Drive",,3,
3-20226,3,"Sandstone/Elbow Drive",,3,
4-20220,4,"Huntington (clockwise)",,3,
4-20226,4,"Huntington (clockwise)",,3,
5-20220,5,"North Haven (counterclockwise)",,3,
5-20226,5,"North Haven (counterclockwise)",,3,
6-20220,6,"Killarney 26 Ave.",,3,
6-20226,6,"Killarney 26 Ave.",,3,
7-20220,7,"South Calgary",,3,
7-20226,7,"South Calgary",,3,
8-20220,8,"North Pointe / Brentwood",,3,
8-20226,8,"North Pointe / Brentwood",,3,
9-20220,9,"Varsity Acres/Bridgeland",,3,
9-20226,9,"Varsity Acres/Bridgeland",,3,
10-20220,10,"Dalhousie/Southcentre",,3,
10-20226,10,"Dalhousie/Southcentre",,3,
11-20220,11,"Southwest Loop",,3,
11-20226,11,"Southwest Loop",,3,
12-20220,12,"Southwest Loop",,3,
12-20226,12,"Southwest Loop",,3,
13-20220,13,"Mount Royal",,3,
13-20226,13,"Mount Royal",,3,
14-20220,14,"Bridlewood/Cranston",,3,
14-20226,14,"Bridlewood/Cranston",,3,
15-20220,15,"Millrise",,3,
15-20226,15,"Millrise",,3,
16-20220,16,"Palliser",,3,
16-20226,16,"Palliser",,3,
17-20220,17,"Renfrew/Ramsay",,3,
17-20226,17,"Renfrew/Ramsay",,3,
18-20220,18,"Lakeview",,3,
18-20226,18,"Lakeview",,3,
19-20220,19,"16 Avenue North",,3,
19-20226,19,"16 Avenue North",,3,
20-20220,20,"Heritage/Northmount",,3,
20-20226,20,"Heritage/Northmount",,3,
21-20220,21,"Castleridge",,3,
21-20226,21,"Castleridge",,3,
22-20220,22,"Dalhousie",,3,
22-20226,22,"Dalhousie",,3,
23-20220,23,"Foothills Industrial",,3,
