stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
2110,2110,"EB CAN OLYMPIC RD@OLYMPIC CE ENTR",,  51.082803,-114.214888,,,0
2111,2111,"EB CAN OLYMPIC RD@OLYMPIC CE ENTR",,  51.082758,-114.214891,,,0
2112,2112,"AUBURN BAY DR & AUBURN GLEN HT sleg",,  50.894138,-113.956180,,,0
2113,2113,"AUBURN BAY DR & AUBURN GLEN GR",,  50.897670,-113.953109,,,0
2114,2114,"AUBURN BAY DR & AUBURN GLEN DR",,  50.898166,-113.952254,,,0
2115,2115,"AUBURN BAY DR & 56 ST SE",,  50.899194,-113.947193,,,0
2116,2116,"MAHOGANY GA & MAHOGANY BV SE",,  50.899358,-113.937620,,,0
2117,2117,"MCKENZIE TOWNE TERMINAL NB",,  50.915536,-113.957175,,,0
2118,2118,"MAHOGANY GA & MAHOGANY BV",,  50.899631,-113.937671,,,0
2119,2119,"AUBURN BAY DR & 56 ST SE",,  50.899352,-113.948024,,,0
2120,2120,"AUBURN BAY DR & AUBURN GLEN DR",,  50.898166,-113.952893,,,0
2121,2121,"AUBURN BAY DR & AUBURN GLEN GR",,  50.897618,-113.953707,,,0
2122,2122,"AUBURN BAY DR & AUBURN GLEN GR",,  50.895969,-113.955087,,,0
3625,3625,"CHAPARRAL DR @ 194 AVE SE",,  50.877706,-114.036811,,,0
3626,3626,"69 Street LRT Station wb",,  51.037596,-114.188479,,,0
3627,3627,"69 Street LRT Station eb",,  51.037507,-114.188475,,,0
3628,3628,"Sirocco LRT Station wb",,  51.038162,-114.169600,,,0
3629,3629,"Sirocco LRT Station eb",,  51.038105,-114.169484,,,0
3630,3630,"45 Street LRT Station wb",,  51.037942,-114.153369,,,0
3631,3631,"45 Street LRT Station eb",,  51.037868,-114.153580,,,0
3632,3632,"Westbrook LRT Station wb",,  51.040547,-114.136596,,,0
3633,3633,"Westbrook LRT Station eb",,  51.040433,-114.136348,,,0
3634,3634,"Shaganappi Point LRT Station wb",,  51.041603,-114.124256,,,0
3635,3635,"Shaganappi Point LRT Station eb",,  51.041512,-114.124176,,,0
3636,3636,"Sunalta LRT Station wb",,  51.044675,-114.098157,,,0
